unique_id,state,Sector,No_of_Colleges,No_of_Companies,No_of_Colleges_Total,No_of_Companies_Total,College_Percentage,Company_Percentage
ID-00001,a&n islands,Agricultural Industry,0.0,0.0,4.0,0.0,0.0,
ID-00002,a&n islands,Chemical & Industrial Industry,1.0,0.0,4.0,0.0,25.0,
ID-00003,a&n islands,Civil & Infrastructure Industry,0.0,0.0,4.0,0.0,0.0,
ID-00004,a&n islands,Commercial & Supply Chain Industry,0.0,0.0,4.0,0.0,0.0,
ID-00005,a&n islands,"Community, Personal & Social Services",1.0,0.0,4.0,0.0,25.0,
ID-00006,a&n islands,Engineering Industry,1.0,0.0,4.0,0.0,25.0,
ID-00007,a&n islands,General Services Sector,0.0,0.0,4.0,0.0,0.0,
ID-00008,a&n islands,Hotel Management,1.0,0.0,4.0,0.0,25.0,
ID-00009,a&n islands,Medical & Pharmaceutical Industry,0.0,0.0,4.0,0.0,0.0,
ID-00010,a&n islands,Sports & Health Industry,0.0,0.0,4.0,0.0,0.0,
ID-00011,a&n islands,Tourism & Hospitality Industry,0.0,0.0,4.0,0.0,0.0,
ID-00012,andhra pradesh,Agricultural Industry,40.0,33.0,579.0,226.0,6.91,14.6
ID-00013,andhra pradesh,Chemical & Industrial Industry,6.0,13.0,579.0,226.0,1.04,5.75
ID-00014,andhra pradesh,Civil & Infrastructure Industry,7.0,26.0,579.0,226.0,1.21,11.5
ID-00015,andhra pradesh,Commercial & Supply Chain Industry,3.0,30.0,579.0,226.0,0.52,13.27
ID-00016,andhra pradesh,"Community, Personal & Social Services",133.0,19.0,579.0,226.0,22.97,8.41
ID-00017,andhra pradesh,Engineering Industry,278.0,73.0,579.0,226.0,48.01,32.3
ID-00018,andhra pradesh,General Services Sector,8.0,4.0,579.0,226.0,1.38,1.77
ID-00019,andhra pradesh,Hotel Management,15.0,3.0,579.0,226.0,2.59,1.33
ID-00020,andhra pradesh,Medical & Pharmaceutical Industry,73.0,8.0,579.0,226.0,12.61,3.54
ID-00021,andhra pradesh,Sports & Health Industry,9.0,17.0,579.0,226.0,1.55,7.52
ID-00022,andhra pradesh,Tourism & Hospitality Industry,7.0,0.0,579.0,226.0,1.21,0.0
ID-00023,arunachal pradesh,Agricultural Industry,1.0,0.0,11.0,5.0,9.09,0.0
ID-00024,arunachal pradesh,Chemical & Industrial Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00025,arunachal pradesh,Civil & Infrastructure Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00026,arunachal pradesh,Commercial & Supply Chain Industry,0.0,3.0,11.0,5.0,0.0,60.0
ID-00027,arunachal pradesh,"Community, Personal & Social Services",8.0,2.0,11.0,5.0,72.73,40.0
ID-00028,arunachal pradesh,Engineering Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00029,arunachal pradesh,General Services Sector,0.0,0.0,11.0,5.0,0.0,0.0
ID-00030,arunachal pradesh,Hotel Management,2.0,0.0,11.0,5.0,18.18,0.0
ID-00031,arunachal pradesh,Medical & Pharmaceutical Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00032,arunachal pradesh,Sports & Health Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00033,arunachal pradesh,Tourism & Hospitality Industry,0.0,0.0,11.0,5.0,0.0,0.0
ID-00034,assam,Agricultural Industry,6.0,18.0,154.0,91.0,3.9,19.78
ID-00035,assam,Chemical & Industrial Industry,7.0,5.0,154.0,91.0,4.55,5.49
ID-00036,assam,Civil & Infrastructure Industry,2.0,7.0,154.0,91.0,1.3,7.69
ID-00037,assam,Commercial & Supply Chain Industry,11.0,12.0,154.0,91.0,7.14,13.19
ID-00038,assam,"Community, Personal & Social Services",84.0,22.0,154.0,91.0,54.55,24.18
ID-00039,assam,Engineering Industry,11.0,21.0,154.0,91.0,7.14,23.08
ID-00040,assam,General Services Sector,3.0,0.0,154.0,91.0,1.95,0.0
ID-00041,assam,Hotel Management,18.0,1.0,154.0,91.0,11.69,1.1
ID-00042,assam,Medical & Pharmaceutical Industry,12.0,1.0,154.0,91.0,7.79,1.1
ID-00043,assam,Sports & Health Industry,0.0,4.0,154.0,91.0,0.0,4.4
ID-00044,assam,Tourism & Hospitality Industry,0.0,0.0,154.0,91.0,0.0,0.0
ID-00045,bihar,Agricultural Industry,7.0,30.0,407.0,380.0,1.72,7.89
ID-00046,bihar,Chemical & Industrial Industry,0.0,28.0,407.0,380.0,0.0,7.37
ID-00047,bihar,Civil & Infrastructure Industry,0.0,68.0,407.0,380.0,0.0,17.89
ID-00048,bihar,Commercial & Supply Chain Industry,1.0,46.0,407.0,380.0,0.25,12.11
ID-00049,bihar,"Community, Personal & Social Services",298.0,94.0,407.0,380.0,73.22,24.74
ID-00050,bihar,Engineering Industry,61.0,51.0,407.0,380.0,14.99,13.42
ID-00051,bihar,General Services Sector,4.0,12.0,407.0,380.0,0.98,3.16
ID-00052,bihar,Hotel Management,17.0,16.0,407.0,380.0,4.18,4.21
ID-00053,bihar,Medical & Pharmaceutical Industry,19.0,10.0,407.0,380.0,4.67,2.63
